filename,label,confidence,keep,gain_r,gain_g,gain_b,exposure,acq_ts,acq_dt,ref_dt,tle_age,lat,lng,h,tle_ref_line1,tle_ref_line2
img_msec_1697282170304_2,earth,0.85380100000000003,True,8,8,8,2,1697282170304,2023/10/14 11:16:10,2023/10/13 21:26:43,0.57601329370663734,-44.746256309478525,-66.021298366449415,460788.4375,1 44878U 19092F   23286.89355041  .00048597  00000+0  11500-2 0  9999,2 44878  97.4683 117.7102 0008426  69.6319 290.5832 15.41608886212037
img_msec_1697282677102_2,earth,0.78112400000000004,True,8,8,8,2,1697282677102,2023/10/14 11:24:37,2023/10/13 21:26:43,0.58187901129713282,-12.627342110138692,-73.919756443408843,445826.65625,1 44878U 19092F   23286.89355041  .00048597  00000+0  11500-2 0  9999,2 44878  97.4683 117.7102 0008426  69.6319 290.5832 15.41608886212037
img_msec_1697283225502_2,bad,0.81055900000000003,False,8,8,8,2,1697283225502,2023/10/14 11:33:46,2023/10/13 21:26:43,0.58822623352170922,22.306363055602386,-80.973695780442043,440010.0625,1 44878U 19092F   23286.89355041  .00048597  00000+0  11500-2 0  9999,2 44878  97.4683 117.7102 0008426  69.6319 290.5832 15.41608886212037
img_msec_1697283289024_2,bad,0.81396100000000005,False,8,8,8,2,1697283289024,2023/10/14 11:34:49,2023/10/13 21:26:43,0.58896144184836885,26.351600648150384,-81.879051015305578,440211.1875,1 44878U 19092F   23286.89355041  .00048597  00000+0  11500-2 0  9999,2 44878  97.4683 117.7102 0008426  69.6319 290.5832 15.41608886212037
img_msec_1697283320863_2,bad,0.94813599999999998,False,8,8,8,2,1697283320863,2023/10/14 11:35:21,2023/10/13 21:26:43,0.5893299488016055,28.37837902962892,-82.34964421893028,440368.6875,1 44878U 19092F   23286.89355041  .00048597  00000+0  11500-2 0  9999,2 44878  97.4683 117.7102 0008426  69.6319 290.5832 15.41608886212037
img_msec_1697283348944_2,bad,0.89658800000000005,False,8,8,8,2,1697283348944,2023/10/14 11:35:49,2023/10/13 21:26:43,0.58965496037126286,30.165373375010404,-82.775602136328956,440536.71875,1 44878U 19092F   23286.89355041  .00048597  00000+0  11500-2 0  9999,2 44878  97.4683 117.7102 0008426  69.6319 290.5832 15.41608886212037
