epoch,shortterm,midterm,longterm
1699756721.100,2.160000,2.020000,1.650000
1699756731.115,2.140000,2.020000,1.660000
1699756741.106,2.120000,2.020000,1.660000
1699756751.100,2.180000,2.030000,1.670000
1699756761.100,2.150000,2.030000,1.670000
1699756771.103,2.130000,2.030000,1.680000
1699756781.103,2.110000,2.030000,1.680000
1699756791.101,2.090000,2.030000,1.680000
1699756801.100,2.080000,2.030000,1.690000
1699756811.102,1.910000,1.990000,1.680000
1699756821.101,1.770000,1.960000,1.670000
1699756831.100,1.650000,1.930000,1.670000
1699756841.101,1.550000,1.900000,1.660000
1699756851.100,1.460000,1.870000,1.650000
1699756861.106,1.390000,1.840000,1.640000
1699756871.103,1.330000,1.810000,1.630000
1699756881.101,1.350000,1.800000,1.630000
1699756891.101,1.300000,1.770000,1.630000
1699756901.106,1.250000,1.750000,1.620000
1699756911.106,1.210000,1.720000,1.610000
1699756921.100,1.180000,1.700000,1.610000
1699756931.102,1.150000,1.670000,1.600000
1699756941.104,1.130000,1.650000,1.590000
1699756951.099,1.110000,1.630000,1.580000
1699756961.100,1.090000,1.610000,1.580000
1699756971.102,1.080000,1.590000,1.570000
1699756981.101,1.060000,1.570000,1.560000
1699756991.104,1.050000,1.550000,1.560000
1699757001.103,1.050000,1.530000,1.550000
1699757011.100,1.040000,1.510000,1.540000
1699757021.104,1.030000,1.490000,1.540000
1699757031.102,1.110000,1.500000,1.540000
1699757041.104,1.240000,1.510000,1.540000
1699757051.102,1.200000,1.490000,1.540000
1699757061.100,1.170000,1.480000,1.530000
