timestamp,label_original,label_original_confidence,label_noised,label_noised_confidence,label_denoised,label_denoised_confidence,confidence_difference,psnr,ssim,mse
1695963889066,Earth,0.946,Bad,0.597,Earth,0.899,-0.047,20.529306740299972,0.8943640529043747,575.6383064944728
1695964476824,Earth,0.875,Bad,0.579,Earth,0.909,0.034,27.184658901484944,0.9222130364808782,124.34103289753402
1697367013830,Earth,0.683,Bad,0.767,Earth,0.727,0.043,5.034623442978242,-0.08202898104869284,20399.42924904337
1697455926224,Earth,0.566,Bad,0.914,Earth,0.542,-0.024,26.496506833133555,0.9260190187029071,145.6899779443027
1697456588945,Earth,0.955,Earth,0.826,Earth,0.844,-0.111,11.537414556941837,0.6411779300011373,4563.929268973215
1697282170304,Earth,0.933,Earth,0.522,Earth,0.854,-0.079,16.83083012521209,0.8515006198518217,1348.9546463116496
1697282677102,Earth,0.707,Earth,0.631,Earth,0.781,0.074,7.212091980339228,0.30893629012770646,12355.80833466199
1695970127700,Earth,0.911,Earth,0.898,Earth,0.887,-0.024,23.506337460925444,0.9184583027388712,290.03246572066325
