patch_margin_pixels,noising_exec_time_seconds,denoising_exec_time_seconds,mse,psnr,ssim
0,0.24,312.92,55.01487430909864,30.726002357915494,0.8808879443202979
2,0.19,490.2,54.16244153911565,30.793821275862115,0.8846281493676111
4,0.19,482.14,53.419363839285715,30.853816490794657,0.8881976528164693
6,0.19,486.52,52.72437021683673,30.91068959995241,0.8913503072006586
8,0.19,696.13,52.46599968112245,30.932024085934202,0.8923070794210619
