filename,label,confidence,keep,gain_r,gain_g,gain_b,exposure,acq_ts,acq_dt,ref_dt,tle_age,lat,lng,h,tle_ref_line1,tle_ref_line2
img_msec_1695963889066_2,earth,0.89945299999999995,True,8,8,8,2,1695963889066,2023/9/29 05:04:49,2023/9/27 12:41:18,1.6830001146372524,-33.816894958136771,23.829783816007662,463249.625,1 44878U 19092F   23270.52867889  .00041164  00000+0  10235-2 0  9997,2 44878  97.4708 100.9826 0008505 122.8882 237.3184 15.40146882209517
img_msec_1695964379864_2,bad,0.849082,False,8,8,8,2,1695964379864,2023/9/29 05:13:00,2023/9/27 12:41:18,1.6886806470429292,-2.6984747658266341,17.096279388791029,451636.53125,1 44878U 19092F   23270.52867889  .00041164  00000+0  10235-2 0  9997,2 44878  97.4708 100.9826 0008505 122.8882 237.3184 15.40146882209517
img_msec_1695964397864_2,bad,0.85464399999999996,False,8,8,8,2,1695964397864,2023/9/29 05:13:18,2023/9/27 12:41:18,1.6888889803813072,-1.55460676382532,16.870965108450648,451357.84375,1 44878U 19092F   23270.52867889  .00041164  00000+0  10235-2 0  9997,2 44878  97.4708 100.9826 0008505 122.8882 237.3184 15.40146882209517
img_msec_1695964417225_2,bad,0.87165400000000004,False,8,8,8,2,1695964417225,2023/9/29 05:13:37,2023/9/27 12:41:18,1.6891130660224007,-0.32414268867967522,16.62878196840763,451072.84375,1 44878U 19092F   23270.52867889  .00041164  00000+0  10235-2 0  9997,2 44878  97.4708 100.9826 0008505 122.8882 237.3184 15.40146882209517
img_msec_1695964440824_2,bad,0.51484200000000002,False,8,8,8,2,1695964440824,2023/9/29 05:14:01,2023/9/27 12:41:18,1.6893862025972339,1.1757982825974775,16.333608513236356,450746.34375,1 44878U 19092F   23270.52867889  .00041164  00000+0  10235-2 0  9997,2 44878  97.4708 100.9826 0008505 122.8882 237.3184 15.40146882209517
img_msec_1695964476824_2,earth,0.909169,True,8,8,8,2,1695964476824,2023/9/29 05:14:37,2023/9/27 12:41:18,1.689802869266714,3.4641889175433693,15.88278529216425,450292.96875,1 44878U 19092F   23270.52867889  .00041164  00000+0  10235-2 0  9997,2 44878  97.4708 100.9826 0008505 122.8882 237.3184 15.40146882209517
img_msec_1695964984426_2,bad,0.86838599999999999,False,8,8,8,2,1695964984426,2023/9/29 05:23:04,2023/9/27 12:41:18,1.6956778924140963,35.718498170243777,8.8086251800932285,449257.375,1 44878U 19092F   23270.52867889  .00041164  00000+0  10235-2 0  9997,2 44878  97.4708 100.9826 0008505 122.8882 237.3184 15.40146882209517
