patch_margin_pixels,noising_exec_time_seconds,denoising_exec_time_seconds,mse,psnr,ssim
0,0.24,312.92,53.55268787202381,30.842990874051203,0.8845100731428318
2,0.19,490.2,52.771205357142854,30.906833467745965,0.8882827214803565
4,0.19,482.14,52.01866762329932,30.96921136638571,0.8918611308003367
6,0.19,486.52,51.33064944727891,31.02703601777901,0.8949946062657289
8,0.19,696.13,51.058514030612244,31.05012189602502,0.895959080678711
